subject,teacher,time_detail,all_colleges_registered,classroom
學術倫理,別蓮蒂,五EFG,24,商館260210
跨文化創新創業專題研討,張欣綠,五E,16,教室洽系所
商業資料分析：R運算,侯佩妤,四D56,6,商館260714
AI協作行銷,白佩玉、陳冠儒,二234,16,商館260712
多元職場,胡昌亞,五234,8,商館260712
企業永續、ESG與社會責任,許永明,五234,45,商館260306
企業永續、ESG與社會責任,許永明,五234,12,商館260306
商用進階英文寫作,沈琪,二234,22,學思040201
商用進階英文寫作,楊健威,二D56,10,學思040208
商用進階英文寫作,楊健威,三234,9,學思040208
商用進階英文寫作,沈琪,三D56,26,學思040201
商用中級寫作訓練,沈琪,二D56,13,學思040201
商用中級寫作訓練,沈琪,三234,11,學思040201
商用中級寫作訓練,鄺慧琪,四234,11,研究250303
商用中級寫作訓練,鄺慧琪,四D56,16,研究250303
商用中級寫作訓練,沈琪,五234,20,學思040201
商用中級寫作訓練,沈琪,五D56,25,學思040201
商用寫作與口語訓練（二）,楊健威,二234,16,學思040208
商用寫作與口語訓練（二）,鄺慧琪,三234,17,研究250303
商用寫作與口語訓練（二）,楊健威,三D56,21,學思040208
商用寫作與口語訓練（二）,鄺慧琪,三D56,16,研究250303
商用寫作與口語訓練（二）,楊健威,五234,18,學思040208
商用寫作與口語訓練（二）,鄺慧琪,五234,17,研究250303
商用寫作與口語訓練（二）,鄺慧琪,五D56,19,研究250303
商用寫作與口語訓練（二）,楊健威,五D56,19,學思040208
職涯發展,曹銀愛,三234,10,商館260712
ESG專題研討：永續發展趨勢、機會與挑戰,蘇威傑,一D56,4,寶來國際廳
ESG專題研討：永續發展趨勢、機會與挑戰,蘇威傑,一D56,21,寶來國際廳
平台創新與我,張欣綠,三234,15,商館260305
創新創業實作專題,張欣綠,五D56,18,商館260102
創新創業實作專題,張欣綠,五D56,6,商館260102
營運與供應鏈管理,洪叔民,五567,39,炎成創新廳
營運與供應鏈管理,洪叔民,五567,6,炎成創新廳
服務學習專業課程－指南服務團－社會服務與學習（二）,王正偉,五EF,11,商館260106
服務學習專業課程－指南服務團－社會服務與學習（一）,王正偉,二FG,25,商館260105
人工智慧與商業應用,曾毓英,四D56,44,學思040103
人工智慧與商業應用,曾毓英,四D56,14,學思040103
智能供應鏈：趨勢與應用,羅明琇,四567,13,商館260712
激勵與領導,許育瑋,四567,11,元大人文廳
行銷研究,朴星俊,五EFG,11,寶來科技廳
設計思考與創新,韓志翔,二567,4,商館260712
大數據品牌行銷,高端訓,一567,13,商館260712
電子商務實作研習,樓永堅,五234,1,商館260210
精實企業與管理實務研討,李易諭,二EFG,7,商館260205
進階個體經濟學,潘振宇,四234,20,學思040306
總體經濟學,朴民佑,五234,49,資訊140106
總體經濟學,鄭琬蓉,一D56,54,研究250105
數理統計學,張志浩,三D56,28,商館260306
人壽保險,陳彩稚,五D56,15,商館260312
貿易與投資專題,徐則謙,三D56,38,商館260207
