subject,teacher,time_detail,all_colleges_registered,classroom
女性電影與媒體文化,卓庭伍,二567,6,百年330203
影視角色創作與表演技術,劉主映,五D56,28,綜北270205
流行音樂與大眾文化專題,劉主映,五234,40,綜北270205
電視新聞基礎與聲音練習,王孟琦,一D56,21,資訊140205
社交媒體數位內容行銷,楊孟潔,三D56,20,大勇210316
國際組織,李瓊莉,三234,12,綜南270410
政治傳播專題,劉義鈞,四234,9,大勇210405
非主流群體的媒體再現,葉嘉炘,三567,5,大勇210405
國際形象與國際溝通,康庭瑜,一567,3,綜北270203
傳播統計分析,施琮仁,二234,0, 無資料
新媒體匯流,林翠絹,四34C,6,新館180301
整合實驗中心實驗Ａ,許志堅,五G,105,傳院劇場
整合實驗中心實驗Ｂ,許志堅,五F,45,傳院劇場
整合實驗中心實驗,許志堅,一1,33,傳院劇場
新聞攝影,鍾宜杰,三234,14,傳播310309
新聞媒體實驗（二）,李怡志,一E五CD,30,大勇210207大勇210401
傳播方法與實踐,韓義興,二234,24,研究250419
電視文化研究,柯裕棻,二567,26,綜南270410
電視新聞製作與播報,詹慶齡,四567,28,傳播310431
傳播科技專題,劉慧雯,四234,24,大勇210401
都市空間與消費文化,王淑美,一D56,23,綜北270305
政治傳播,劉嘉薇,四D56,30,綜北270202
新聞網站平台運作實務,李法賢,二EFG,29,大勇210315
媒介心理學,韓義興,三234,38,研究250308
偵探社會學—推理小說賞析,方孝謙,三567,19,大勇210403
分類報導訊息研究－醫療健康與環境新聞,徐美苓,二567,10,傳播310431
新聞倫理與個案研討,方念萱,三567,24,傳播310431
公關策略與企劃,孫秀蕙,三234,32,研究250204
公關策略與企劃,鄭怡卉,三234,31,大勇210417
意象與繪圖,陳文玲,四34C,11,創意實驗室
專業實習,張郁敏,未定或彈性,11, 無資料
影像後製與設計,吳岳剛,三234,25,傳播310311
品牌識別與應用設計,劉俐華,四34C,30,大勇210315
社群媒體行銷,林日璇,二D56,96,大勇210417
媒體溝通策略,林芝璇,三D56,39,綜北270207
互動與行銷溝通,鄭霈絨,二D56,20,大勇210102
企業公共關係,嚴曉翠,四D56,35,資訊140208
公共報導與公關寫作,吳惠萍,五D56,17,研究250204
品牌策略與實務,李宛芸,五234,48,資訊140105
跨界專題－Ｘ計畫,陳文玲,五34C,6,創意實驗室
消費者洞察分析,彭賢恩,一D56,25,研究250204
互動科技與品牌體驗,王伯宇,四234,26,研究250419
數位圖像敘事與創作,劉俐華,二34C,23,大勇210315
影像製作,李志文,二EFG,14,研究250419
媒介經營管理,辛翠芸,五567,18,大勇210207
廣播節目製作,楊盈箴,四34C,21,大勇210417
媒體內容企劃,焦志方,四D56,36,研究250419
影視寫作,李家驊,五567,35,大勇210401
音響學,侯志欽,一D56,25,大勇210301
獨立專題,卓庭伍,一EFG,26,大勇210401
編劇學,馬克明,五234,14,大勇210403
新媒體與創業,盧建誌,三567,38,大勇210401
影視製片與發行,姚經玉、薛聖棻,一CD5五567,20,綜北270106
行動內容製作與評估,許瓊文,三34C,30,大勇210401
影視編導實務,沈可尚,五34C,30,綜北270305
進階電視製作－紀錄,曾文珍,四234,27,電算B1演講廳
媒介創新與商業模式,曾國峰,二D56,46,資訊140205
影視剪接,雷震卿,四D56,20,傳播310311
獨立專題（B）,鍾適芳,一EFG,18,大勇210404
進階攝影專題,沈昭良,二D56,21,大勇210403
動畫基礎與製作,謝文明,四D56,30,大勇210316
進階電視製作—兒少節目,林曉蓓,四EFG,17,研究250204
音樂社會學：樂手、作品與創業,黃俊銘,二567,17,大勇210401
科技影像敘事與ＡＩ協作,陳彥豪,四78E,0, 無資料
傳播與社會,方念萱,二234,77,大勇210417
傳播與社會,游絲涵,二234,67,大勇210205
傳播與社會,張依萍,二234,64,研究250101
傳播與社會,江靜之,二234,75,大勇210206
靜態影像設計,吳岳剛,四234,49,傳播310311
靜態影像設計,鍾宜杰,四234,47,資訊140104
靜態影像設計,余志偉,四234,41,資訊140205
基礎影音製作,王亞維,四34C,45,傳院劇場
基礎影音製作,李家驊,四34C,43,傳播排演室
基礎影音製作,文楷誠,四34C,43,傳播310207
傳播與當代思潮,柯裕棻,三234,78,大勇210105
傳播與當代思潮,康庭瑜,三234,61,綜南270111
傳播與當代思潮,黃俊銘,三234,62,資訊140206
傳播與當代思潮,謝杰廷,三234,64,資訊140201
進階資料分析與策略,陳百齡,五234,21,資訊140205
廣告原理,張郁敏,一D56,40,大勇210417
進階程式設計,張景堯,五234,24,大勇210315
資料結構與演算法,許志堅,一D56,110,大智190101
進階紀實採寫,黃庭郁,一D56,10,研究250419
資訊圖表與視覺化,李怡志,二567,95,大勇210106
公共關係基礎,鄭怡卉,二234,49,資訊140401
當代電影理論,陳儒修,五D56,246,傳院劇場
科學與風險傳播,施琮仁,三234,28,電算智慧教室
傳播法規與倫理,盧建誌,四567,69,大勇210417
現代文選,林元輝,二567,27,傳播310311
創意與設計,鄭霈絨,一D56,31,大勇210315
紀實採寫,陳百齡,二567,23,綜南270209
紀實採寫,汪文豪,一567,18,綜北270307
戲劇概論,楊欣芳,二567,36,傳院劇場
基礎創意寫作,何昕明,五D56,32,資訊140205
基礎創意寫作,馬克明,五D56,30,資訊140307
機器人與AI互動設計,侯宗佑,二D56,3,藝文370218
機器人與AI互動專題：理論與研究,侯宗佑,四D56,4,藝文370218
女性電影與媒體文化,卓庭伍,二567,8,百年330203
社交媒體數位內容行銷,楊孟潔,五D56,18,大勇210316
非主流群體的媒體再現,葉嘉炘,三567,9,大勇210405
新媒體匯流,林翠絹,四34C,5,新館180301
政治傳播專題,劉義鈞,四234,4,大勇210405
國際組織,李瓊莉,三234,4,綜南270410
傳播統計分析,施琮仁,二234,17,大勇210316
國際形象與國際溝通,康庭瑜,一567,8,綜北270203
專業實習,林日璇,未定或彈性,6, 無資料
創意研討Ｂ,侯宗佑,二3,15,藝文370218
創意研討Ｄ,陳宜秀,二4,19,藝文370218
數位內容技術實作,蔡欣叡,三567,14,藝文370218
機器人與AI互動設計,侯宗佑,二D56,11,藝文370218
機器人與AI互動專題：理論與研究,侯宗佑,四D56,11,藝文370218
進階遊戲引擎應用開發,周大鈞,三EFG,0,大勇210316
進階使用者經驗設計,陳宜秀,四234,9,藝文370218
基礎動畫設計,陳俊良,三234,1,大勇210315
互動裝置設計,張博智,二D56,4,大勇210315
互動科技研究討論,蔡欣叡,一567,5,藝文370218
互動科技：媒材、感知與設計,陳聖智,二D56,33,大仁200106
電腦動畫,陳俊良,三D56,1,大勇210315
實驗與統計法概述,陳宜秀,三EFG,11,藝文370218
方法論,劉慧雯,二234,6,新館180301
台灣電視產業發展,劉昌德,三8E,1,大勇210402
高等量化傳播研究方法,陳憶寧、羅文輝,二D56,3,大勇210316
資訊通訊法與社會,蘇蘅,二D56,0, 無資料
文化研究方法,王淑美,三234,4,新館180301
社交媒體研究,鄭宇君,二D56,4,傳播310207
兩岸流行文化研究─中國電影專題,李政亮,一D56,2,傳播310311
環境與健康風險傳播,徐美苓,三D56,1,傳播310206
音樂社會學：樂手、作品與創業,黃俊銘,二567,5,大勇210401
數位圖像敘事與創作,劉俐華,二34C,7,大勇210315
視覺元素與敘事,陳儒修,二D56,16,傳播310309
資訊通訊法與社會,蘇蘅,二D56,5,傳播310206
文化研究方法,王淑美,三234,10,新館180301
社交媒體研究,鄭宇君,二D56,12,傳播310207
