subject,teacher,time_detail,all_colleges_registered,classroom
生物醫學倫理與法律（一）,劉宏恩,四234,0, 無資料
專題三：大數據與社會分析,卞中佩,四234,0,國際360304
專題一：人類世與地緣政治,楊智元,三D56,1,研究250305
新媒體、科技與社會專題,李怡志、謝佩璇,四678,34,大勇210207
國內實習Ｂ,林翠絹,四EF,0, 無資料
海外學習Ａ,蔡葵希,一8,0, 無資料
國內實習,林翠絹,四EF,14,研創350319
海外學習,蔡葵希,一8,10,大勇210208
機器人與AI互動設計,侯宗佑,二D56,2,藝文370218
機器人與AI互動專題：理論與研究,侯宗佑,四D56,0, 無資料
數位人文與AI,呂欣澤,二234,3,綜南270209
女性電影與媒體文化,卓庭伍,二567,0, 無資料
跨文化媒體與創新科技：沉浸式學習,林翠絹,未定或彈性,7, 無資料
國際組織,李瓊莉,三234,1,綜南270410
非主流群體的媒體再現,葉嘉炘,三567,1,大勇210405
國際傳播：跨媒體企製與營運,余佳璋,三567,7,綜南270408
新媒體實務,林翠絹,五567,3,研總350222
專題三：大數據與社會分析,卞中佩,四234,10,國際360304
數位製作與分析,江亦瑄,二567,11,大勇210204
媒體與社會研究方法,蔡葵希,五234,14,大勇210208
國際形象與國際溝通,康庭瑜,一567,1,綜北270203
國際新聞報導,林翠絹,五234,5,研總350222
數位敘事與新媒體科技,蔡葵希,二234,9,大勇210204
專題三：AI與治理,陳柏良,三234,1,大勇210205
專題一：科技、社會與爭議,楊智元,二D56,2,研究250105
新媒體匯流,林翠絹,四34C,5,新館180301
虛擬實境與數位科技,林日璇,一D56,15,大勇210405
國際公法,張佳康,五678,21,綜南270313
研究方法,陳虹穎,三234,56,國際360301
統計學（二）,關秉寅,二567,44,國際360301
AI導論,卞中佩,五234,43,國際360301
專題一：科技、社會與爭議,楊智元,二D56,5,研究250105
專題二：移民與全球化,歐子綺,五D56,17,國際360408
專題三：AI與治理,陳柏良,三234,16,大勇210205
人文地理,陳虹穎,二D56,48,國際360406
專題一：人類世與地緣政治,楊智元,三D56,10,研究250305
專題二：全球議題在亞洲,歐子綺,二234,17,綜北270206
專題三：大數據與社會分析,卞中佩,四234,18,國際360304
政治學,詳備註,三D56,0, 無資料
國際商務與國家安全的鏈結：出口管制、制裁、外國直接投資與供應鏈,金美英,二78E,11,綜合271111
社會理論中的全球環境：經濟、政治與生態,江順楠,四234,24,綜北270106
氣候變遷下的全球食物體系,江順楠,二234,12,綜北270106
數位人文與AI,呂欣澤,二234,9,綜南270209
資料科學基礎：社會科學的工具箱,杜福童,一D56,6,綜南270110
永續發展與地方創生,蔡文宜,四78E,27,綜北270203
生成式AI實作,呂欣澤,三8EF,12,研究250305
現代世界的宗教與政治,DeasyRumondang Prisc,五D56,7,綜南270211
東亞政治與經濟發展,曾偉峯,四567,13,綜北270105
創新管理與數位轉型,史蘭亭,三234,20,綜南270311
東南亞政治: 變革與延拓,DeasyRumondang Prisc,四D56,26,綜北270106
比較政府與政治,錢宜群,二234,41,電算B1演講廳
