subject,teacher,time_detail,all_colleges_registered,classroom
國際組織,盧業中,二D56,73,綜北270103
國際公法,蔡沛倫,三34,129,資訊140306
西洋外交史,蘇卓馨,一D56,69,大勇210101
中國外交史,陳麒安、黃奎博,四234,76,綜南270114
國際安全,吳崇涵,二234,90,綜北270103
質性與量化研究方法導論,李佳怡,五234,138,大勇210105
區域研究—非洲國際關係,張文揚,一D56,37,綜北270204
區域研究—南亞國際關係,陳秉逵,五D56,17,綜北270303
國際貿易,胡聯國,二56,62,綜南270412
當代俄羅斯社會轉型,康世昊,五234,1,綜合270810
俄羅斯外交政策,林永芳,三678,4,綜合270810
國際人道法與難民法,蔡沛倫,四56,30,綜北270305
國際發展研究,馮慕文,三D56,42,綜北270303
區域整合與歐亞關係,蘇卓馨,二234,9,綜合271112
服務學習專業課程－國際事務研習志工服務,李佳怡,五F,31,研究250204
國際移動與全球趨勢專題（二）,黃奎博,三56,32,綜南270113
國際談判實務,黃奎博,二FG,8,綜合270918
當代國際關係史,郭昕光,二234,11,綜南270412
全球環境治理,李河清,四56,11,綜北270204
韓國外交政策,劉德海,四34,14,綜北270203
中共政經發展與兩岸關係,朱新民,三34,62,綜北270303
永續發展導論,楊文琪,二D56,36,綜南270212
國際企業與國際關係,林碧炤,五34,77,綜北270303
國際法院成案,蔡沛倫,三567,33,綜南270411
區域研究—拉丁美洲國際關係研究,馮慕文,二D56,6,綜合270915
政治經濟學,鄧中堅,五8EF,1,綜合270914
區域研究—南亞國際關係,陳秉逵,五D56,9,綜北270303
國際公法專題研究（一）,陳貞如,四D5,3,綜合271411
區域整合與歐亞關係,蘇卓馨,二234,5,綜合271112
區域合作與組織,阿布杜拉,二78,2,綜合270914
條約法,申佩璜、梁英斌,一56,9,綜合270915
國際談判實務,黃奎博,二FG,7,綜合270918
國際政治經濟專題研究,張文揚,二234,19,綜北270304
伊比利半島研究,邱稔壤,五34,0, 無資料
外交政策—美國外交政策研究,黃奎博,三234,5,綜合270915
國際環境政治,李河清,四78,0, 無資料
非國家行為者與國際關係之研究,陳秉逵,三234,13,綜合270918
發展中國家政治與外交政策研究,柯玉枝,四78,11,綜合271111
中共政治發展,寇健文,二234,13,綜合270810
中共經濟發展理論與政策,劉致賢,一567,7,綜合270812
政治經濟學,張珈健,三567,6,綜合270812
國際關係理論,張廖年仲,三34C,19,綜合270812
國際關係理論,薛健吾,三234,4,綜合270813
東南亞研究：議題與方法,楊昊,二234,3,綜合270813
中國大陸社會轉型與變遷,王信賢,四567,19,綜合270812
中共黨政發展專題,鍾延麟,二234,8,綜合270812
國際商務與國家安全的鏈結：出口管制、制裁、外國直接投資與供應鏈,金美英,二78E,4,綜合271111
中共歷史研究著作選讀,鍾延麟,四234,7,綜合270813
中共政治制度專題討論,蔡文軒,三567,7,綜合270813
爭辯中的人類安全：正義、平等、人道與人權,王韻,五234,6,綜南270410
中共軍事專題研究,丁樹範,二567,12,綜合270813
中國政治經濟,劉致賢,二567,2,綜合270812
東南亞比較政治,孫采薇,五234,3,綜合270813
社會科學統計方法,蔡佳泓,五234,3,綜合270812
政治經濟學,李世暉,三234,8,綜合271112
當代俄羅斯社會轉型,康世昊,五234,1,綜合270810
中東歐文化與社會,陳美芬,四CD5,12,綜合270810
蘇聯史,許菁芸,三D5,6,綜合270811
俄羅斯外交政策,林永芳,三678,4,綜合270810
歐盟與俄羅斯經貿關係專題,洪美蘭,五D56,2,綜合270811
俄國經濟,魏百谷,四678,4,綜合270811
俄羅斯國家與社會關係,林永芳,二678,6,綜合270810
中俄關係研究,許菁芸,二CD5,7,綜合270811
政治經濟學,李世暉,三234,12,綜合271112
媒體文化論,仲川秀樹,一234二234,12,綜合271111
日本殖民帝國專題,楊素霞,一56,1,研究250420
日本的新太空發展與戰略,鄭子真,一D56,0, 無資料
日本的國際合作與ＯＤＡ,石原忠浩,二D56,4,綜合271112
研究方法與指導Ｂ２（文化學群）,金想容,二78,2,季陶340304
日本近代政治外交史專題研究２,于乃明,二56,4,綜合271111
民族主義與中日關係,楊雯婷,四D56,4,綜合271111
日本古典文法,鄭家瑜,四D56,0,研究250102
當代日本政治概論,石原忠浩,三D56,5,綜合271111
日本經濟外交研究,柯玉枝,四D56,5,綜合271112
日本大眾文化研究,李衣雲,三567,3,綜南270110
日本安全保障政策,陳文甲,五234,2,綜合271111
政治經濟學,張珈健,四567,19,綜南270410
當代俄羅斯社會轉型,康世昊,五234,1,綜合270810
國際商務與國家安全的鏈結：出口管制、制裁、外國直接投資與供應鏈,金美英,二78E,5,綜合271111
區域整合與歐亞關係,蘇卓馨,二234,13,綜合271112
現代世界的宗教與政治,DeasyRumondang Prisc,五D56,7,綜南270211
國際關係量化研究方法,李佳怡,四234,13,綜合271112
東北亞安全關係,楊雯婷,二D56,9,綜南270315
外交政策—美國外交政策研究,黃奎博,三234,6,綜合270915
爭辯中的人類安全：正義、平等、人道與人權,王韻,五234,3,綜南270410
都市貧窮與不均,蘇昱璇,二234,2,綜合270722
俄羅斯外交政策,林永芳,三678,1,綜合270810
國際合作專題研究--國際非政府組織與發展,李栢浡,四234,8,綜合271111
國際關係理論,薛健吾,三234,4,綜合270813
媒體文化論,仲川秀樹,一234二234,0, 無資料
日本殖民帝國專題,楊素霞,一56,0, 無資料
日本的新太空發展與戰略,鄭子真,一D56,0, 無資料
日本的國際合作與ＯＤＡ,石原忠浩,二D56,0, 無資料
日本近代政治外交史專題研究２,于乃明,二56,0, 無資料
民族主義與中日關係,楊雯婷,四D56,0, 無資料
日本安全保障政策,陳文甲,五234,3,綜合271111
當代日本政治概論,石原忠浩,三D56,0, 無資料
日本經濟外交研究,柯玉枝,四D56,0, 無資料
戰略研究,連弘宜,六234,29,綜北270306
國際公法研究,陳純一,五FGH,15,綜合270915
區域研究—非洲國際關係研究,張文揚,六234,14,綜合270915
中共外交政策與兩岸關係研究,朱新民,六D5,17,綜合270915
傳播、文化與外交,林碧炤,六D5,20,綜合270918
大國崛起與國際關係理論,吳崇涵,六67,15,綜合270918
國際政治經濟學,張文揚,二GH,14,綜合270915
危機處理,李明,二EF,10,綜合270915
中國大陸研究,王信賢,六234,25,綜合271112
國家安全理論與實務,連弘宜,六678,27,綜合271112
政治經濟學,魏百谷,六234,3,綜合271111
能源安全專題,李佳怡,二EF,17,綜合271112
情報分析的理論與實務,許光武,六67,19,綜合271111
國家安全情報實務研究,劉德良,六D5,35,綜合271112
國際合作理論與中國的一帶一路戰略,薛健吾,四GH,21,綜合271112
中共政治發展和變遷,鍾延麟,四EF,16,綜合271112
