subject,teacher,time_detail,all_colleges_registered,classroom
英語語言學概論,徐嘉慧,二234,28,研究250102
英語語言學概論,賴惠玲,二234,41,季陶340402
文學作品讀法,吳敏華,一D56,44,季陶340409
文學作品讀法,邱彥彬,一D56,33,季陶340405
寫作與閱讀（二）,劉怡君,二234,17,商館260308
寫作與閱讀（二）,張晨恩,二234,15,季陶340408
寫作與閱讀（二）,黃怡萍,二234,15,逸仙050103
寫作與閱讀（二）,趙順良,二234,12,商館260305
寫作與閱讀（二）,林質心,四234,9,研究250207
寫作與閱讀（二）,吳易道,四234,15,逸仙050202
寫作與閱讀（二）,吳敏華,四234,14,季陶340407
寫作與閱讀（二）,黃怡萍,四234,13,逸仙050103
寫作與閱讀（二）,鄭傳傑,四234,13,季陶340305
翻譯專題：翻譯理論,余淑慧,一D56,13,季陶340302
翻譯專題：新聞英文翻譯,陳國華,五D56,12,百年330108
英語口語訓練（二）：口語訓練與閱讀,羅狼仁,三D56,25,研究250302
英語口語訓練（二）：口語訓練與閱讀,鄭傳傑,三D56,25,季陶340309
英語口語訓練（二）：口語訓練與閱讀,鍾曉芳,三D56,18,研究250106
英語語言發展史,鄭傳傑,五234,34,季陶340406
英國文學：1600至1800,吳易道,一D56,66,研究250206
二十世紀英國文學,邱彥彬,二D56,58,研究250103
美國文學,柯瑞強,一D56,49,季陶340107
英文字彙教學,鍾曉芳,二234,5,商館260315
進階英文寫作,吳承翰,五D56,9,學思040104
逐/同步口譯,張郇慧,三234,17,季陶340309
進階英語口語訓練：新聞,安東尼,二234,18,商館260307
進階英語口語訓練：辯論,鄭傳傑,三234,7,季陶340305
詩歌選讀,許立欣,二D56,20,季陶340406
發音語音學,薩文蕙,二D56,25,研究250302
現代戲劇,姜翠芬,二234,11,資訊140104
阿拉伯語（三）,鍾念雩,四56,32,研究250302
阿拉伯語詞法學,蘇怡文,三34,31,道藩320111
阿拉伯語（一）,傅怡萱,二2四34,22,研究250106學思040303
阿拉伯語（一）,傅怡萱,二C四56,22,研究250302研究250106
阿拉伯語（二）,傅怡萱,一56四2,47,學思040103學思040303
阿拉伯語語法（一）,馬穆德,四34,38,研究250204
應用阿拉伯語（一）,馬穆德,二34四D,21,研究250106
應用阿拉伯語（一）,鍾念雩,二34四D,18,研究250302
應用阿拉伯語（二）,叢培臻,二34三C,26,學思040301學思040303
應用阿拉伯語（二）,叢培臻,二56三D,16,資訊140308學思040303
阿拉伯語詞法概論,鍾念雩,二56,44,道藩320218
阿拉伯語聽力（三）,張景安,四C,43,研究250309
阿拉伯語（四）,蘇怡文,五34,24,道藩320112
阿拉伯語聽力與口說（一）,王經仁,三C,15,研究250301
阿拉伯語聽力與口說（一）,王經仁,三D,14,研究250301
阿拉伯語聽力與口說（一）,王經仁,三5,14,研究250301
海灣方言,詳備註,二56,0, 無資料
散文文學,詳備註,四CD,0, 無資料
阿拉伯語會話（一）,詳備註,一78三34,0, 無資料
阿拉伯語會話（二）,詳備註,三34四56,0, 無資料
阿拉伯語會話（三）,詳備註,一CD二34,0, 無資料
阿拉伯語會話（四）,詳備註,二34四34,0, 無資料
中亞專題研究,艾彌拉,二D56,5,道藩320217
阿拉伯詩歌與電影中的情愛與慾念,叢培臻,一56,13,研究250302
吉爾吉斯語 ﹙二﹚,艾彌拉,一D56,1,道藩320217
中東衝突專題,張景安,三D56,18,研究250424
初級俄語,吳佳靜,四34,30,道藩320111
初級俄語,張珮琪,二12,23,道藩320112
初級俄語語法,吳佳靜,三34,33,道藩320113
初級俄語語法,張珮琪,四34,23,道藩320218
進階俄語：文學,江杰翰,四34,13,道藩320215
中級俄語,劉心華,二34四3,21,道藩320112道藩320113
中級俄語,柯瓊鎣,二34三3,21,道藩320316道藩320112
中級俄語語法,劉心華,三34四4,20,道藩320215道藩320113
中級俄語語法,柯瓊鎣,三4四12,23,道藩320112
應用俄語寫作,薩承科,三56,11,道藩320315
初級俄語會話,薩承科,五34,32,道藩320113
初級俄語會話,瓦列格夫,三34,24,百年330109
中級俄語會話,薩承科,二12四12,21,道藩320113
中級俄語會話,瓦列格夫,二12四34,19,百年330109
進階俄語會話,薩承科,三12五12,15,道藩320113
進階俄語會話,瓦列格夫,三12五12,20,百年330109
高階俄語會話,薩承科,四56,15,道藩320113
進階俄語,葉相林,二34,19,道藩320313
進階俄語,葉相林,三34,19,道藩320313
俄語寫作,薩承科,二56,19,道藩320112
俄語寫作,瓦列格夫,二56,21,百年330109
進階俄語語法,葉相林,四34,37,道藩320112
捷克國情概論：捷克社會的形成與建構,林蒔慧,四78,38,道藩320316
捷克人文與文化探索,赫萊娜,一78,16,道藩320313
俄羅斯飲食文化,吳佳靜,一56,20,道藩320218
捷克音樂,赫萊娜,二78,12,道藩320112
蘇聯及當代俄羅斯,趙竹成,四56,47,綜北270201
初級俄語視聽訓練（二）,張珮琪,三12,26,道藩320112
中級俄語口說訓練（二）,葉相林,四56,7,道藩320112
中級俄語閱讀訓練（二）,張瑞承,三56,22,道藩320113
初級俄語口說訓練（二）,張瑞承,四56,35,道藩320111
捷克文（三）,赫萊娜,一D56,2,道藩320313
波蘭文（一）,羅百德,二567,14,道藩320111
捷克文（二）,林蒔慧,一D56,14,研究250309
捷克文（一）,林蒔慧,二D56,12,道藩320316
俄語（一）,江杰翰,二234,7,道藩320218
俄語（二）,吳佳靜,四D56,6,商館260310
捷語會話（二）,赫萊娜,四D56,3,道藩320315
捷語會話（一）,赫萊娜,五34C,8,道藩320315
波語會話（一）,貝娜煦,一B12,2,道藩320314
波蘭文（三）,貝娜煦,一D56,2,道藩320315
波蘭文（二）,貝娜煦,二D56,7,道藩320113
俄語語音與語調,張瑞承,三78,33,道藩320113
初級日語,葉秉杰,二12四12,52,研究250201研究250105
日語會話演習（一）,洪淑娟,二56四56,20,綜北270302綜南270308
日語會話演習（一）,成田純一,二56四56,14,綜北270304
日語會話演習（一）,今泉江利子,二56四56,17,綜北270202綜北270203
中級日語,王淑琴,四234,47,季陶340108
高級日語,黑﨑貴史,一56,52,季陶340413
日語會話演習（二）,芝田沙代子,二56四56,17,綜北270405
日語會話演習（二）,城戶秀則,二56四56,19,綜北270401
日語會話演習（二）,增田高志,二56四56,12,綜北270403
日文習作（一）,今泉江利子,二34,20,綜北270202
日文習作（一）,黑﨑貴史,二34,19,季陶340302
日文習作（一）,成田純一,二34,15,學思040107
日文習作（二）,芝田沙代子,四34,19,綜北270405
日文習作（二）,城戶秀則,四34,14,綜北270401
日文習作（二）,增田高志,四34,16,綜北270403
日本專題研究Ａ２：語言,黑﨑貴史,三56,8,季陶340108
日本專題研究Ｂ２：文學,高啓豪,三34,23,季陶340302
日本專題研究Ｃ２：歷史文化,金想容,二56,22,季陶340405
日本名著選讀Ａ２：語言,喬曉筠,三56,20,研究250306
日本名著選讀Ｂ２：文學,高啓豪,四56,39,季陶340108
日本名著選讀Ｃ２：歷史文化,楊素霞,二56,11,研究250106
進階日譯中理論與實務２,王盈文,五34,8,研究250307
日語語法２,黑﨑貴史,三78,44,季陶340108
