subject,teacher,time_detail,all_colleges_registered,classroom
教育研究法,洪煌堯,二234,59,井塘電腦室020213
教育社會學,陳榮政、曾聖翔,三234,56,井塘020413
學習評量,余民寧,五234,42,井塘020113
課程發展與設計,林進山,五D56,44,井塘020113
輔導原理與實務,王素芸,二D56,55,資訊140306
教學原理,林進山,四234,52,井塘020413
特殊教育導論,施淑慎,四D56,23,井塘020111
語文領域-國文教學實習,陳麗明,二56,4,井塘020101
語文領域-英文教學實習,温宥基,三78,6,井塘020111
社會領域教材教法,楊秀菁,一78,3,研究250205
社會領域教學實習,楊秀菁,一EF,0,研究250205
綜合活動領域教學實習,施淑慎,二78,11,研究250424
心理測驗與評量,胡悅倫,三234,51,研究250305
比較國際教改,莊俊儒,三78E,50,井塘020113
青少年偏差行為輔導,吳珮瑀,四78E,11,井塘020111
親職教育,林高賢,五234,28,井塘020101
資訊融入教與學,曾聖翔,四D56,25,井塘020101
進階電視製作—兒少節目,林曉蓓,四EFG,13,研究250204
雙語教學實習,張秀帆,三78,3,井塘020101
原住民族教育,王雅萍,三78E,14,綜南270111
學校諮商實習,陳婉真,四234C,21,井塘020101
諮商專業導論,陳牧凡,三D56,36,井塘020101
學習輔導,邱美秀,一D56,19,井塘電腦室020213
教育政策與全球化,侯永琪,三D56,2,井塘020111
數位學習,曾聖翔,三56,8,井塘020413
家庭發展,藍挹丰,二34,32,井塘020101
家庭生活教育概論,徐巧玲,四8E,27,井塘020112
團體輔導,傅如馨,二D56,34,井塘020113
教育心理學,葉玉珠,三34,30,井塘020113
教育社會學,陳揚學,五78,21,井塘020413
教學原理,黃譯瑩,二34,19,井塘020113
輔導原理與實務,陳揚學,五D5,43,井塘020413
課程發展與設計,黃譯瑩,三D56,22,井塘020112
教學媒體與運用,陳揚學,四56,25,電算微二室
語文領域-國文教學實習,陳麗明,二56,16,井塘020101
語文領域-英文教學實習,温宥基,三78,11,井塘020111
社會領域教材教法,楊秀菁,一78,13,研究250205
社會領域教學實習,楊秀菁,一EF,1,研究250205
綜合活動領域教學實習,施淑慎,二78,12,研究250424
生涯規劃及職業教育與訓練,許秀美,四78,28,井塘020101
原住民族教育,王雅萍,三78E,20,綜南270111
教育行政,陳木金,四D56,26,井塘020113
性別教育,李佩蓉,一78,11,綜北270306
特殊教育導論,施淑慎,一D56,45,研究250424
學校輔導專題研究,傅如馨,四D56,13,逸仙050203
應用R於教育模擬研究,謝進昌,三D56,11,井塘020113
組織學習與教育創新研究,顏敏仁,四D56,5,研究250420
全球高教學術競爭及品質與績效評估,侯永琪,二D56,3,井塘020111
實驗教育研究,鄭同僚,二234,15,井塘020112
智慧教室教學數據採收與分析,張奕華,四234,6,井塘020111
教育政策與全球化,侯永琪,三D56,3,井塘020111
教育科技領導與創新研究,張奕華,三234,3,井塘電腦室020213
全球教育發展趨勢專題研究,湯家偉,四56,4,井塘020112
心理測驗與評量研究,胡悅倫,二234,6,研究250422
思考與認知專題研究,葉玉珠,二D56,3,井塘020110
國際教育資料庫分析研究,邱美秀,二234,4,電算微二室
教學設計與科技研究,洪煌堯,三D56,2,電算微三室
教育設施與規劃專題研究,湯志民,五FG,11,井塘020112
潛在變項模式,余民寧,四234,20,井塘電腦室020213
教育社會學專題研究,陳榮政,四78E,7,井塘020113
教育法規專題研究,董保城,四EF,3,井塘020110
教育組織行為專題研究,吳政達,四D56,18,井塘電腦室020213
文教機構經營策略管理,顏敏仁,三D56,8,研究250420
實驗教育研究,鄭同僚,二234,3,井塘020112
教學視導與專業發展研究,郭昭佑、湯家偉,四234,1,井塘020112
組織學習與教育創新研究,顏敏仁,四D56,3,研究250420
幼兒發展與學習,林高賢,三234,8,井塘020101
童年與社會化研究,倪鳴香、陳明輝,五D56,3,井塘020101
兒童田野研究,張盈堃,三78E,3,研究250422
學校行政研究,莊俊儒,二D56,9,井塘020112
教育政策與全球化,侯永琪,三D56,0, 無資料
教育行政專題（二）,郭昭佑,四D,2,井塘020112
教學視導與專業發展研究,郭昭佑、湯家偉,四234,2,井塘020112
心理測驗與評量研究,胡悅倫,二234,7,研究250422
教育改革研究,湯家偉,三234,4,井塘020112
高等教育統計,吳政達,三D5,15,井塘電腦室020213
諮商實習（二）,王麗娟,二567,16,大智190202
專題發表演習（二）,游琇婷,二1五1,5,果夫080101
現象學心理學研究專題：存在現象學心理學,李維倫,三234,6,百年330212
諮商與心理治療實務,陳牧凡,二D56,12,學思040306
心理治療總論,楊建銘,三567,0, 無資料
心理衡鑑研究,孫頌賢,一D56,20,學思040303
家庭發展,藍挹丰,二34,5,井塘020101
青少年偏差行為輔導,吳珮瑀,四78E,0, 無資料
全職諮商實習（二）,陳婉真,五234,12,井塘020111
心理測驗與評量研究,胡悅倫,二234,4,研究250422
危機處置,修慧蘭,一12C,10,學思040208
團體諮商研究,吳珮瑀,五D56,12,井塘020112
教育研究法,張盈堃,二D56,7,研究250422
教育研究專題討論（二）,陳榮政,四FG,49,教院會議室
藝術與科技教育,曾正男,二34,7,井塘020111
教育權研究,陳榮政,未定或彈性,8, 無資料
學校行政研究,秦夢群,六234,24, 無資料
論文寫作指導,余民寧、侯永琪、洪煌堯、莊俊儒、湯家偉、顏敏仁,六234,24, 無資料
教育政策分析,湯家偉,六D56,11, 無資料
統計套裝程式在教育研究上的應用,吳政達,日234,23, 無資料
數位教育科技管理研究,顏敏仁,日D56,11, 無資料
領導心理學專題研究,郭昭佑,日234,14, 無資料
教育改革研究,陳榮政,日D56,12, 無資料
