subject,teacher,time_detail,all_colleges_registered,classroom
政治學,蔡中民,一D56,147,綜合中央大教室 (270751)
社會學,劉叡穎,三234,60,綜北270202
個體經濟學,陳鎮洲,四234,105,綜合中央大教室 (270751)
個體經濟學,李慧琳,一D56,29,資訊140307
個體經濟學,徐麗振,二D56,27,綜南270415
個體經濟學,黃柏鈞,三D56,122,綜合中央大教室 (270751)
總體經濟學,莊奕琦,四234,96,大勇210103
總體經濟學,洪福聲,二234,83,大勇210103
總體經濟學,梁斐琪,三234,115,大智190305
總體經濟學,朱琇妍,三D56,58,人偉講堂
總體經濟學,莊奕琦,四D56,36,大勇210206
經濟學,翁永和,四D56,149,大勇210103
經濟學,王信實,五234,39,綜南270311
經濟學,陳心蘋,五D56,130,大智190305
經濟學,洪福聲,三234,92,大勇210103
經濟學,廖郁萍,三234,24,大勇210201
經濟學,彭喜樞,三D56,100,綜南270111
經濟學,胡偉民,二234,102,大智190101
經濟學,吳文傑,一D56,150,大勇210103
經濟學,鄭鴻章,三D56,64,商館260105
經濟學,林信助,二234,116,資訊140206
經濟學,蔡致遠,三234,128,研究250103
經濟學,朴民佑,四D56,30,逸仙050201
經濟學,張興華,四D56,107,商館260210
經濟學,溫偉任,五234,122,研究250103
財政學,黃智聰,二D56,72,綜合中央大教室 (270751)
財政學,陳國樑,三234,138,綜南270415
財政學,陳香梅,三D56,100,綜南270415
政治學,韋洪武,一D56,20,綜北270202
國際關係,楊文琪,三D56,63,綜北270202
貨幣銀行學,林馨怡,二D56,149,大勇210103
貨幣銀行學,蕭明福,四D56,94,大勇210105
貨幣銀行學,賴廷緯,五234,38,大勇210202
社會學,馬藹萱,二1234,63,綜南270113
初級會計學（二）,徐愛恩,一D56,59,資訊140301
初級會計學（二）,何怡澄,一D56,123,資訊140206
初級會計學（二）,詹凌菁,一D56,61,商館260105
初級會計學（二）,張祐慈,一78E,42,研究250201
初級會計學（二）,黃政仁,一78E,42,商館260312
初級會計學（二）,林禹銘,一EFG,72,大勇210206
初級會計學（二）,陳宇紳,二D56,40,逸仙050101
初級會計學（二）,林禹銘,二EFG,50,大勇210206
初級會計學（二）,戚務君,三234,60,學思040103
初級會計學（二）,翁嘉祥,三234,96,學思040302
初級會計學（二）,張祐慈,三78E,79,研究250201
初級會計學（二）,潘健民,三EFG,89,商館260106
初級會計學（二）,何怡澄,四234,100,資訊140206
初級會計學（二）,陳宇紳,四D56,58,研究250201
中級會計學（二）,潘健民,四234,103,商館260106
中級會計學（二）,陳明進,四234,72,商館260210
中級會計學（二）,徐愛恩,二D56,50,人偉講堂
中級會計學（三）,黃政仁,三78E,57,商館260205
中級會計學（三）,陳明進,五D56,34,商館260210
成本管理會計（二）,李佳玲,二234,50,商館260106
成本管理會計（二）,王文英,二234,61,學思040202
成本管理會計（二）,王文英,二D56,51,學思040202
財務管理,盧敬植,一D56,47,商館260106
財務管理,車倫周,四D56,70,研究250105
財務管理,郭維裕,二D56,58,研究250206
財務管理,林基煌、屠美亞,三234,31,商館260210
管理學,郭曉玲,五234,49,商館260311
管理學,黃家齊、潘博宇,一D56,58,商館260313
管理學,周庭佑、林昱錡,二D56,59,學思040302
管理學,官函霓,三234,55,研究250201
行銷管理,白佩玉,三234,52,寶來科技廳
行銷管理,陳冠儒,三234,61,寶來國際廳
行銷管理,鄭濬浩,三234,0, 無資料
行銷管理,鄭濬浩,三D56,0, 無資料
行銷管理,陳冠儒、陳姿伃,四234,50,學思040205
行銷管理,白佩玉、朱怡亭,五234,43,商館260207
行銷管理,費喬登,一D56,41,學思040205
投資學,李志宏,二D56,58,商館260210
投資學,林靖庭,三234,68,商館260106
投資學,邱健嘉,一D56,71,商館260207
投資學,車倫周,三D56,69,商館260205
社會責任與倫理,黃秉德,二D56,39,商館260311
社會責任與倫理,黃秉德,二234,35,商館260105
社會責任與倫理,羅明琇,二234,52,學思040104
社會責任與倫理,柯玉佳,二234,60,元大人文廳
社會責任與倫理,李竺姮,五234,56,寶來國際廳
社會責任與倫理,陳立民,五234,60,學思040107
多媒體與程式設計軟體,張瑞岩,三D56,93,逸仙5樓資管電腦室
多媒體與程式設計軟體,李博逸,四234,52,逸仙5樓資管電腦室
多媒體與程式設計軟體,李博逸,四78E,66,逸仙5樓資管電腦室
資料分析與程式設計入門,周彥君,四D56,74,逸仙5樓資管電腦室
資料分析與程式設計入門,楊亨利,二78E,55,逸仙5樓資管電腦室
資料分析與程式設計入門,余千智,三78E,27,逸仙5樓資管電腦室
統計學（一）,薛慧敏,二234,58,商館260311
統計學（二）,楊素芬,一D56,121,研究250103
統計學（二）,黃佳慧,二234,109,研究250103
統計學（二）,翁久幸,二234,73,商館260306
統計學（二）,陳怡如,二D56,111,資訊140206
統計學（二）,張育瑋,二D56,85,商館260106
統計學（二）,薛慧敏,三D56,35,商館260313
統計學（二）,黃子銘,四234,79,研究250103
統計學（二）,周珮婷,四D56,215,研究250103
統計學（二）,吳漢銘,四D56,45,商館260311
統計學（二）,陳立榜,四D56,49,資訊140306
民法概要,王正偉,一78,18,學思040202
民法概要,詹聰哲,三78,88,大勇210201
商事法,王文杰,二D5,121,大勇210105
商事法,王正偉,四78,47,商館260306
商事法,魏杏芳,三56,55,大勇210205
商事法,詹聰哲,三34,98,大智190101
商事法,林佳穎,二34,105,大智190304
商事法,王文杰,三78,133,法學院演講廳
商事法,劉承愚,一78,32,綜北270402
普通心理學,楊啟正,二234,232,法學院演講廳
微積分,張宜武,三D56,128,大勇210103
微積分,符聖珍,四D56,69,大勇210104
微積分,郭岳承,四D56,86,大勇210106
微積分,林俊良,三D56,108,大智190101
微積分,劉明郎,五D56,114,大勇210103
微積分甲,曾正男,四D56,56,大智190101
微積分甲,林俊良,二234,60,大勇210104
微積分甲,蔡承育,三D56,108,大勇210104
國文－古典詩選讀,陳成文,一D56,35,百年330304
國文－古典詩選讀,許東海,五234,68,綜北270203
