subject,teacher,time_detail,all_colleges_registered,classroom
數位人文學概論,鄭有容,三D56,22,百年電腦室
出土簡牘與秦漢社會生活,林宏明,未定或彈性,1, 無資料
自然史與醫療史新視野,陳秀芬,未定或彈性,1, 無資料
語文學（Philology）的比較研究：國別傳統與全球視野,周志煌,未定或彈性,1, 無資料
邏輯,鄭光明,四234,9,道藩320224
日本視野下的日本與中國近現代史,薛化元,未定或彈性,0, 無資料
新媒體創作思考,吳彥杰,二234,9,創意實驗室
歷史閱讀與書寫,陳秀芬,二D56,6,季陶340108
中國思想史,陳睿宏,四234,42,研究250202
中國思想史,陳逢源,四234,39,研究250205
中國文學史,曾守正,四234,42,研究250308
中國文學史,侯雅文,四234,39,研究250424
禮記,鄭雯馨,三D56,37,研究250205
書經（尚書）,古育安,一D56,9,百年330203
易經（周易）,陳睿宏,五234,78,資訊140206
歷代文選及習作,高振宏,二234,55,研究250202
歷代文選及習作,古育安,二234,40,研究250205
學庸,劉柏宏,五234,8,百年330304
史記,廖棟樑,五234,52,研究250424
古典小說選讀,林桂如,二D56,36,研究250202
俗文學概論,楊明璋,三78E,46,研究250424
詩選,陳成文,四567,53,百年330305
詩選,楊明璋,四567,47,百年330304
語言學概論,宋韻珊,二D56,50,研究250101
詞選,陳英傑,三234,43,研究250306
詞選,侯雅文,三234,50,研究250205
曲選,侯雲舒,三234,40,研究250424
曲選,侯雲舒,二78E,48,研究250303
台灣文學選讀,張惠珍,三78E,25,研究250302
中國神話選讀,高莉芬,四567,38,百年330213
文學經典閱讀與評論,黃庭頎,四D56,42,百年330406
現代文學與跨文化實踐,陳碩文,二D56,37,研究250303
李商隱詩,陳英傑,五234,36,研究250301
道家與當代思潮,洪燕梅,三D56,27,研究250419
臺灣電影研討：類型、作者與電影運動,聞天祥,一CD5,41,綜北270101
現當代文藝思潮,周志煌,三D56,37,研究250202
國語語音學,呂昭明,二78E,29,研究250202
近代中國婦女史,許慧琦,三234,32,季陶340405
中國政治制度史,王德權,四234,48,季陶340413
元明清繪畫史,劉宇珍,四234,42,季陶340406
中日關係史專題,廖敏淑,二D56,30,季陶340413
歷史與記憶專題,藍適齊,三D56,20,研究250421
歷史書寫,林蕙安,二34,29,季陶340405
中世紀基督宗教史,崔國瑜,四D56,35,季陶340405
中國近世醫療史,陳秀芬,五D56,41,季陶340409
口述歷史,黃仁姿,四D56,44,季陶340516
中華人民共和國史,李福鐘,二78E,51,商館260106
史蹟與文化資產專題,黃仁姿,五D56,29,季陶340407
台灣、東亞與世界文明（二）,金仕起,五234,64,季陶340107
歷史閱讀與書寫,陳秀芬,二D56,54,季陶340108
西洋藝術史,黃桂瑩,三56,42,季陶340409
歐洲的激進傳統（1750 至今）,吳孟軒,二D56,25,季陶340516
美國史（二）,周一騰,四D56,17,季陶340409
德國史（二）,陳致宏,三D56,53,季陶340413
歷史與策展實務,金仕起,一234,16,國際360202
知識論,鄭光明,五234,86,道藩320224
邏輯,鄭光明,四234,148,道藩320224
宗教哲學,劉若韶,二567,45,百年330012
中國哲學史（二）,吳啟超,二234,60,季陶340107
西洋哲學史（二）,羅麗君,三234,80,道藩320316
佛教哲學原典選讀,胡志強,二EFG,38,研究250424
中國政治哲學（漢代至清代）,詹康,二D56,11,百年330226
明代哲學專題,馬愷之,三78E,19,大勇210101
神學命定論論證,劉若韶,五567,54,研究250101
現象學與心理療癒,李維倫,四234,75,人偉講堂
哲學實作,王華,一D56,7,百年330222
梅洛龐蒂：藝術與知覺的世界,張國賢,一D56,52,研究250202
近代哲學議題：自我與主體性,羅麗君,二234,26,百年330304
