subject,teacher,time_detail,all_colleges_registered,classroom
國際公法,陳貞如,五D56,85,大勇210205
證券交易法,陳盈如,三234,79,大勇210206
證券交易法,林國全,三234,80,綜南270114
證券交易法,周振鋒,五D56,54,綜北270201
刑事法綜合研習,林俊益,一5678,94,大勇210105
憲法,劉定基,一D56,82,大勇210206
憲法,廖元豪,一D56,97,大勇210202
憲法,張桐銳,一D56,30,大智190304
身分法,劉宏恩,三D56,40,大勇210206
身分法,戴瑀如,二234,113,大智190305
身分法,小林貴典,二234,93,大勇210202
保險法,葉啓洲,五234,157,綜合中央大教室 (270751)
保險法,陳俊元,五234,68,學思040202
行政法（二）,詹鎮榮,二56,93,大智190305
行政法（二）,傅玲靜,二56,70,大智190304
行政法（二）,吳秦雯,二56,79,大勇210202
法律倫理,蔡碧玉,四34,59,綜南270415
刑法（二）,謝如媛,三234,83,大勇210202
刑法（二）,廖宜寧,三234,92,大勇210104
刑法（二）,陳志輝,三234,33,綜北270201
民法債編總論（一）,呂彥彬,二D56,97,大智190101
民法債編總論（一）,王千維,二D56,84,大勇210201
民法債編總論（一）,向明恩,二D56,81,大勇210206
法學的歷史、社會與思想,王曉丹,四234,44,綜北270302
法學的歷史、社會與思想,黃琴唐,四234,58,綜北270301
法學的歷史、社會與思想,廖宜寧,四234,70,綜北270202
刑罰思想史專題研究（二）,李聖傑,三5,0, 無資料
刑事法的脈動,何賴傑,五34,20,綜北270105
民事實務專題研究（三）,許政賢,四78,3,綜合271411
美國法律檢索、分析與寫作（二）,朱德芳,未定或彈性,7, 無資料
英文契約導讀及撰寫（二）,顏玉明,未定或彈性,1, 無資料
刑事證據法專題研究（六）,楊雲驊、簡士淳,五78,3,綜合271411
公平交易法,王立達,五678,31,大勇210201
金融科技創新與監管政策專題,陳盈如、鄭婷嫻,五34,8,綜南270314
智慧財產權法專題研究（五）,陳龍昇,四56,8,綜合271408
調解法,姜世明,四34,40,綜北270201
債法實例研習,向明恩,三EF,40,商館260206
行政救濟法,張桐銳,三78E,12,綜北270304
氣候變遷與法律,許耀明、傅玲靜,三56,8,綜北270306
民事裁判評析與民法理論發展,詹森林,二56,65,大勇210205
日本民法入門,張韻琪,未定或彈性,8, 無資料
體育運動與法律（二）,林佳和,一D56,18,大勇210106
爭議案件與法律解釋方法,江玉林,四234,11,綜合271407
刑事訴訟法（二）,楊雲驊,二78,29,大勇210206
國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,四EF,0, 無資料
法學方法與民事審判實務,魏大喨,四56,4,綜合271407
海商法,沈宗倫,二56,54,綜南270114
海商法,張新平,五D5,55,大勇210201
民法債編各論,王千維,四234,77,大勇210206
民法債編各論,張韻琪,四234,70,大勇210205
民法債編各論,周伯峰,四234,32,大勇210202
民事訴訟法（二）,劉明生,二234,97,大勇210101
民事訴訟法（二）,姜世明,二234,82,大仁200101
國家組織法,廖元豪,四56,80,大勇210201
土地、環境與法律,李明芝、傅玲靜,一78,1,綜南270311
勞動法與社會法導論,林佳和、張桐銳,四78,68,綜南270113
商務契約撰擬,朱德芳、程春益,二78,11,綜北270306
行政法進階,詹鎮榮,三56,99,大勇210106
公益服務法律實習－共好文山計畫（二）,陳志輝,一12,15,綜合271407
視覺影像中的法律,江玉林,二234,57,綜北270301
鑑識會計,朱家德、朱德芳、馬秀如,五D56,0,商館260815
原住民族行政及法規,吳秦雯,三D56,0,綜南270410
專題三：AI與治理,陳柏良,三234,8,大勇210205
歐洲人權公約與司法實踐,王士帆,三567,21,綜北270102
信託法理論與實務（二）,方嘉麟、胡玉瑩、馬國柱,五567,4,綜合271410
檢察實務研究（二）,黃謀信,五56,2,綜北270103
國際人道法與難民法,蔡沛倫,四56,11,綜北270305
財法中心公益服務實習—金融消費評議中心見習（二）,周振鋒,二EF,4,綜合271408
民法總則實例研習,吳瑾瑜,二234,112,大勇210106
法律經濟分析（一）,簡資修,四56,18,綜合271315
著作權法,沈宗倫,二78,54,綜南270114
通訊傳播法,劉定基,三34,7,綜南270408
物權法實例研習,吳瑾瑜,三234,112,大勇210106
刑事證據法,何賴傑,一D56,133,綜南270113
法律服務,呂彥彬,三C,11,綜北270107
民法中心公益服務實習,周伯峰,四C,12,綜合271411
身分法案例實習,林秀雄,四56,58,綜北270101
公法中心公益服務實習,傅玲靜,一C,3,綜合271407
生物醫學倫理與法律（一）,劉宏恩,四234,3,綜合271408
集體勞動法,林良榮,三56,0, 無資料
國際貿易法,許耀明,四567,32,綜北270302
刑事政策,謝如媛,四234,24,綜北270204
勞動法案例研究,林良榮,三78,0, 無資料
企業併購法,周振鋒、黃朝琮,五78,37,綜北270403
政府採購法,顏玉明,二56,15,綜合271315
