subject,teacher,time_detail,all_colleges_registered,classroom
微積分,曾睿彬,二34四34,85,大智190204
線性代數,班榮超,三34五4,53,大智190204
線性代數,賴冠宇,二56四5,50,大智190204
高等微積分,陳隆奇,二34四34,58,志希070221
統計學,洪芷漪,三12五2,60,志希070221
代數學,張宜武,三34五3,66,志希070221
離散數學,張宜武,二12四1,127,綜合中央大教室 (270751)
數值分析,郭岳承,三D56,88,志希070221
演算法,符麥克,四D56,18,志希070221
隨機過程,洪芷漪,一567,60,大智190204
數學專業總整（一）,曾睿彬,未定或彈性,11, 無資料
生成式 AI 應用與倫理實務課程,陳政輝,一234,28,應數電腦室
馬可夫鏈導論,洪芷漪,四34C,6,果夫研討一
基礎數學專題ＩＩ,班榮超,四6,49,大智190204
生成式 AI：文字與圖像生成的原理與實務,蔡炎龍,二78E,133,應數電腦室
微分方程應用,符聖珍,五D56,31,志希070221
深度學習的原理與實務上的應用,蔡炎龍,未定或彈性,240, 無資料
圖論,符麥克,二234,9,果夫研討一
幾何學,邱普照,二D56,14,志希070221
優化理論,陳政輝,二234,1,果夫研討二
機器學習,曾正男,二D56,64,應數電腦室
普通心理學,吳治勳、游琇婷、黃啟泰,五234,70,研究250105
心理及教育統計學,楊立行,二234,66,商館260210
心理實驗法,蔡介立,二34,68,資訊140201
心理實驗法實驗,蔡介立,二D56,61,資訊140201
性格心理學,孫蒨如,三234,64,學思040202
發展心理學,黃啟泰,三D56,75,資訊140201
知覺心理學,黃淑麗,五234,62,學思040302
實驗室實習（二）,張葶葶,一C二C三C四C,13,果夫080101
生命科學概論,陳紹寬,三234,48,資訊140106
臨床心理學實習,姜忠信,未定或彈性,13, 無資料
心理測驗－實務與應用,游琇婷,四234,28,商館260307
判斷和決策,吳庭達,三D56,49,研究250105
人際關係,吳庭達,二D56,54,大勇210207
機器學習與其在行為科學之應用,黃柏僩,四234,28,綜南270314
心理學專業總整（一）,姜忠信,未定或彈性,13, 無資料
實變函數論,陳隆奇,一567,31,志希070221
數理統計,宋傳欽,五567,11,志希070116
作業研究,陸行,四234,3,志希070116
研究方法Ⅱ,邱普照,一D,21,志希070221
書報討論Ⅱ,邱普照,一D,17,志希070221
書報討論Ⅱ,邱普照,一D,1,志希070221
書報討論IV,邱普照,一D,3,志希070221
高等機率論,姜祖恕,五CD5,4,果夫研討一
優化理論,陳政輝,二234,2,果夫研討二
幾何學,邱普照,二D56,1,志希070221
圖論,符麥克,二234,0, 無資料
生成式 AI 應用與倫理實務課程,陳政輝,一234,17,應數電腦室
馬可夫鏈導論,洪芷漪,四34C,1,果夫研討一
代數,陳天進,二D56,14,志希070116
微分流形,陳天進,二234,7,志希070116
演算法,符麥克,四D56,3,志希070221
生成式 AI：文字與圖像生成的原理與實務,蔡炎龍,二78E,39,應數電腦室
微分方程式,邱普照,四D56,6,志希070116
實驗設計,楊立行,一D56,27,研究250306
論文發表演習（一）,游琇婷,四56,0, 無資料
論文發表演習（二）,游琇婷,四56,3,果夫080101
論文發表演習（三）,游琇婷,四56,1,果夫080101
論文發表演習（四）,游琇婷,四56,1,果夫080101
專題發表演習（二）,游琇婷,二1五1,23,果夫080101
機器學習與其在行為科學之應用,黃柏僩,四234,4,綜南270314
臨床神經心理學與神經外科學專題,楊啟正,未定或彈性,2, 無資料
心理生理衡鑑與生理回饋,楊建銘,四234,8,大智190202
臨床健康心理學衡鑑與治療,吳治勳,二567,7,資訊140304
神經心理衡鑑與復健,楊啟正,四234,12,商館260310
臨床心理學兼職實習（二）,吳治勳,未定或彈性,11, 無資料
臨床心理學全職實習（二）,吳治勳,二EFG,11,研究250422
臨床心理衡鑑（二）,姜忠信,五D56,11,大智190202
結構方程模型,黃柏僩,三D56,8,綜南270314
領導心理學專題,林姿葶,一D56,9,逸仙050202
心理治療總論,楊建銘,三567,10,逸仙050103
本土心理學專題,孫蒨如,二234,10,逸仙050203
階層線性模型分析,游琇婷,二D56,11,研究250420
幼兒發展與學習,黃啟泰,二78E,4,商館260315
健康心理學,吳治勳,三234,23,資訊140205
專題討論（二）,陳玠文、陳紹寬、詹銘煥、廖文霖、趙知章,二5,1,大智190306
科學表達與論文寫作,詹銘煥、廖文霖,四34,1,大智190306
神經發育與疾病,廖文霖,三678,0, 無資料
神經退化及再生,趙知章,三D5,0, 無資料
計算物理導論,林瑜琤,一D56,9,慎固800103
固態物理（二）,楊志開,二D五34,2,研究250307研究250305
量子力學（二）,林瑜琤,五D56,5,慎固800103
量子計算,許琇娟,一78E,11,慎固800103
量子計算,許琇娟,一78E,1,慎固800103
普通物理學（二）,李傳睿,一78E,49,研究250105
電子電路學,蔡尚岳,三234,37,蓄養790401
電磁學（二）,許琇娟,五78E,11,研究250305
奈米科技導論,林宮玄,三EFG,19,商館260311
專題研究（一）,林瑜琤、許琇娟、陸行、彭彥璁、楊志開、蔡尚岳,未定或彈性,0, 無資料
電子學（二）,蔡尚岳,四234,10,資訊140105
工程數學（一）,李傳睿,五D56,50,商館260105
