subject,teacher,time_detail,all_colleges_registered,classroom
中華民國憲法及政府,翁燕菁,五234,63,綜北270103
比較政府與政治,楊婉瑩,一D56,77,綜南270111
拉丁美洲政府與政治,蘇彥斌,一D56,36,綜南270409
公共政策,湯京平,二D56,30,綜南270211
政治學方法論,蘇彥斌,四D56,46,綜南270111
統計學,蕭怡靖,三234,70,綜北270103
政治哲學概論,陳建綱,三D56,84,大勇210201
社會科學的邏輯,葉浩,三D56,52,綜南270409
意識型態理論,張其賢,四D56,17,綜南270416
歐陸政府與政治,翁燕菁,四234,29,綜南270208
民意與調查,陳陸輝,二234,25,綜南270212
兩岸關係概論,冷則剛,二234,39,綜南270311
國會與立法行為,盛杏湲,四D56,54,綜南270312
中國政治思想史,張其賢,五234,24,綜南270212
全球議題：對外援助與發展,李栢浡,三567,14,綜北270403
金融政策的政經分析：數位貨幣與培養理財素養的台日比較,蔡中民,五8EF,36,綜合270728
政治哲學與人工智慧,陳建綱,一D56,8,綜南270212
政治學英文名著選讀,董國猷,三234,13,綜南270313
自由主義與其限制,周家瑜,三567,3,綜南270413
台日地方創生與社區營造的深度對話：地域設計在地培力跨國實踐,湯京平,一D56,14,綜南270208
政治公共關係,吳秀瓊,四34C,39,綜北270207
東南亞政府與政治,孫采薇,一D56,13,綜南270416
非洲政府與政治,嚴震生,五234,18,綜南270411
政治文學,趙翊夫,三D56,7,綜南270416
社會統計,陳信木,三1234,40,綜南270212
社會研究方法,張峯彬,四1234,57,大勇210106
社會學理論,高國魁,二CD56,63,大勇210101
社會學資料處理,張峯彬,五CD56,49,資訊140406(微五教室)
社會統計（一）,陳信木,四1234,42,綜南270212
全球化與社會變遷,邱炫元,二234,24,綜南270313
性別社會學,苗延威,一D56,36,綜南270315
政治管理,陳敦源,一D56,3,電算B1演講廳
新社會思想史,高國魁,三D56,43,綜南270309
族群關係,馮垂華,四D56,36,綜北270407
我與老年的距離：高齡社會學與社會工作,王明聖,三D56,6,綜合271443
移民與宗教,邱炫元,五234,0, 無資料
社會網絡與社會資本,鄭力軒,二234,14,綜南270409
進階質性研究方法,劉叡穎,五234,30,綜南270313
性別、工作與照顧專題,王明聖,二234,9,綜合271443
個人網絡,陳人豪,三D56,13,綜南270212
專題一：科技、社會與爭議,楊智元,二D56,7,研究250105
專題三：AI與治理,陳柏良,三234,10,大勇210205
反身社會學經典研讀：布赫迪厄,黃厚銘,四D56,16,綜南270314
教育社會學,彭思錦,五567,22,綜北270304
藝術社會學,洪儀真,三D56,63,綜北270203
財產稅理論與制度,傅健豪,二234,78,綜南270415
所得稅理論與制度,周德宇,五234,37,綜南270111
消費稅理論與制度,黃智聰,一D56,69,綜南270114
現代財政理論,賴育邦,一D56,14,綜南270313
租稅法（二）,徐麗振,一D56,0, 無資料
租稅法（二）,陳國樑,四234,99,資訊140306
統計學（二）,胡偉民,一D56,74,綜南270415
微積分（二）,吳文傑,四D56,173,綜合中央大教室 (270751)
循環經濟和永續發展,林其昂,二234,39,綜南270211
租稅個案實習,鍾騏,五234,11,綜南270412
貿易理論與關稅政策,彭喜樞、謝鈴媛,四D56,22,綜南270109
國際租稅問題,陳香梅,四D56,12,綜南270313
公共選擇理論,王智賢,三D56,24,綜南270315
證券管理,李明機,五EF,0, 無資料
稅務會計,金志遠,三D56,22,綜南270211
地方財政,傅健豪,一D56,4,綜南270209
行政法,莊國榮,三34,55,綜南270411
行政學,廖興中,一56,75,綜北270103
中華民國憲法,莊國榮,四34,60,綜北270404
科技與政府,朱斌妤,三D56,59,綜南270412
政策分析,張鎧如,三56,48,綜南270312
全球化與公共事務,呂采穎、杜文苓,五D56,49,綜南270311
公部門人力資源管理,傅凱若,一D56,34,綜南270211
組織理論與管理,董祥開,二D56,42,綜南270311
公共行政新興議題,張鎧如,一D,62,綜北270206
政策爭議實務分析與公共溝通,施佳良,五34,0, 無資料
公共管理及永續發展,謝文琪,五234,7,人偉講堂
永續社群發展與管理,謝文琪,二234,3,人偉講堂
社會創新與地方治理,傅凱若,二234,3,綜合271149
計畫評估,董祥開,三D56,5,綜館271134
機構實習,黃東益,一8EF,8,綜合271149
政治管理,陳敦源,一D56,4,電算B1演講廳
政策行銷,陳敦源,二234,0, 無資料
現行考銓制度,蘇偉業,三D56,3,綜北270307
土地政策,徐世榮,五234,141,綜南270415
土地行政,陳立夫,四234,76,大勇210105
規劃實務（二）,方定安、白仁德、戴秀雄,二5678,30,綜合製圖一
規劃實務（一）,蔡育新、蔡聰琪、鄭安廷,一D567,40,綜合製圖一
計算機程式設計,孫子龍,二234,54,綜合270610
都市交通運輸計畫,白仁德,二34,44,綜合製圖一
測量學及實習,甯方璽,三D5678,66,綜南270114
測量學及實習,甯方璽,三D5四567,45,綜南270114綜南270412
地籍測量及實習,邱式鴻,三34D56,22,綜南270412綜合270610
民法（二）,吳秀明,四234,132,綜南270113
不動產投資與市場分析,林左裕,二234,77,綜南270111
地理資訊科學,詹進發,三234,42,綜合270610
電腦繪圖與地理資訊系統,林士淵,一D5,58,綜合270610
衛星定位測量,甯方璽,四234,28,綜南270312
遙感探測,林士淵,二D56,20,綜合270610
空間資料模型,范噶色,一78E,30,綜合270610
土地法（二）,戴秀雄,三234,146,綜合中央大教室 (270751)
不動產經營管理,朱芳妮,一D56,80,大勇210104
測量平差法（一）,邱式鴻,一D56,39,綜南270311
縣市國土計畫,白仁德、官大偉、鄭安廷、戴秀雄,一8E,94,大勇210205
土地、環境與法律,李明芝、傅玲靜,一78,22,綜南270311
收益性不動產估價實務,張能政、郭國任、鐘少佑,四234,27,綜南270211
應用AI於城市永續生態設計,陳楊文,五567,21,綜北270305
國際間財產評價,游適銘,三8E,7,綜北270403
以歷史的角度看地表變遷,陳奕穎,二34,2,綜南270416
國土規劃,鄭安廷,五234,23,綜南270312
電腦繪圖,范噶色,四D56,26,綜合270610
不動產建築管理與法律,李明芝,四56,41,綜北270402
數值攝影測量學,邱式鴻,二234,10,綜南270309
不動產經濟分析,朱芳妮,四D56,19,綜南270211
敷地計畫,孫振義,四78,52,綜合製圖二
不動產資料處理,江穎慧,二78E,43,綜合270610
不動產估價實務,陳奉瑤,一D56,81,大勇210205
貨幣銀行,林左裕,四234,61,大勇210207
不動產交易法,吳秀明,三567,33,綜北270405
都市更新,丁秀吟,二D56,49,綜南270411
規劃實務（二）實習,白仁德,四5678,29,綜合製圖一
規劃實務（一）實習,鄭安廷,三D567,41,綜合製圖一
AI在不動產金融與投資中的應用,林左裕,未定或彈性,22, 無資料
經濟思想史,李為楨,一D56,108,學思040302
國際貿易,李慧琳,四D56,58,資訊140307
計量經濟學（二）,徐士勛,二234,82,大勇210105
產業經濟學（二）,何靜嫺,五234,19,綜北270404
經濟數學（一）,李浩仲,四234,80,大勇210104
國際金融議題研析,蕭明福,二34,13,綜北270303
個體計量方法與應用,黃柏鈞,四D5,16,綜南270309
金融，理財與生活,方中柔,五234,76,綜南270113
創新管理與數位轉型,史蘭亭,三234,33,綜南270311
資料分析與R語言,廖仁哲,三234,46,大勇210101
貧窮經濟學專題,王信實,四D56,10,綜南270311
賽局理論入門（二）,何靜嫺,一12C,20,綜北270404
管理經濟,林祖嘉,三234,0, 無資料
民族學,官大偉,四D56,48,綜南270409
民族問題,藍美華,一D56,21,綜南270312
台灣原住民語言—泰雅語,鄭光博,二56,10,綜南270208
台灣原住民語言—賽德克語,伊萬納威,一56,6,綜南270308
滿語,林士鉉,二56,4,綜南270210
藏語,黃奕彥,二56,7,綜南270110
維吾爾語,張中復,二78,7,綜南270308
中國民族誌,趙竹成,三234,54,綜南270309
世界民族誌,黃季平,二234,52,綜南270411
民族學研究方法與實作,高雅寧,三D56,37,綜南270311
中國民族史（II）,張中復、陳乃華,四56,35,綜北270307
蒙古語：傳統蒙文,藍美華,二56,3,綜南270108
進階田野調查課程：菲律賓文化與地理研究,陳怡萱,五234,10,綜南270315
無機材質文物保存與修護概念,邵慶旺,四234,14,綜合270717
人類學與障礙研究,劉子愷,一78E,7,綜南270314
內陸歐亞概論,藍美華,五56,11,綜南270411
博物館教育理論與實務,潘美璟,二678,11,綜南270408
博物館實習,陳乃華,四78,13,綜南270311
藏學人類學,陳乃華,五234,10,綜南270209
以社區為本的文化資源管理：台灣與泰國的經驗對話,王雅萍,五EFG,11,研究250201
民族發展專題：社區製圖與傳統領域調查,陳怡萱、蕭惠中,三D56,2,綜南270209
原住民族教育,王雅萍,三78E,15,綜南270111
語言、文化與數位媒體,劉子愷,四234,5,綜南270409
地方創生與青年創業實驗室,王雅萍,一78E,14,綜北270304
博物館展覽設計與製作,張駿逸,三34,22,綜南270416
台灣考古,劉益昌,一78E,12,綜北270303
民族政治社會制度,趙竹成,二78,11,綜南270312
民俗學,黃季平,一D56,6,綜合270717
比較政治,林超琦,三234,19,綜南270726
社會科學統計方法,戴士展,二D56,6,綜南270314
西洋政治思想主要課題,周家瑜,四D56,10,綜南270726
社會科學哲學,葉浩,二EFG,7,綜南270726
比較政治理論與方法,錢宜群,一D56,5,綜合271201
全球議題：對外援助與發展,李栢浡,三567,6,綜北270403
政治哲學與人工智慧,陳建綱,一D56,1,綜南270212
制度與政策之效應評估,黃紀,四D56,4,綜合270728
政治傳播專題,戴士展,四D56,3,綜南270408
自由主義與其限制,周家瑜,三567,1,綜南270413
中共政治發展,寇健文,二234,4,綜合270810
發展與政策,湯京平,五234,4,綜合270723
德國統一前後之研究,葉陽明,二D56,5,綜合270728
立法行為,盛杏湲,一567,6,綜南270726
非洲政府與政治,嚴震生,五234,0, 無資料
美國政府與政治,俞振華,四234,6,綜南270726
社會科學統計方法實習,戴士展,二7,6,綜南270314
社會學研究方法,陳人豪,四D56,16,綜合270835
文化與現代性專題討論,黃厚銘,二567,10,綜合270835
當代社會研究與思辨,鄭力軒,一567,19,綜合270835
遷徙與社會發展：理論與實務,林季平,二567,0, 無資料
藝術本位社會研究,陳宗文,五D56,6,綜合270835
社會網絡與社會資本,鄭力軒,二234,10,綜南270409
移民與宗教,邱炫元,五234,0, 無資料
個人網絡,陳人豪,三D56,2,綜南270212
專題一：科技、社會與爭議,楊智元,二D56,2,研究250105
專題三：AI與治理,陳柏良,三234,0,大勇210205
文化研究,邱炫元,三567,12,綜合270835
財政政策,陳國樑,二234,23,綜南270308
福利經濟學,曾巨威,五678,15,綜合270931
高等個體經濟學（二）,翁堃嵐,二234,1,綜合270931
專題研討,陳國樑,五CD,3,綜合270931
租稅分析與應用,賴育邦,三D56,32,綜南270313
公共支出分析與應用,黃明聖,四234,35,綜南270311
計量經濟學（二）,連賢明,五234,2,綜合270935
稅務會計,郭振雄,一127,18,綜合270935
租稅法專題,鍾騏,三234,19,綜南270211
租稅理論,楊建成,一567,1,綜合270946
循環經濟和永續發展,林其昂,二234,24,綜南270211
貿易理論與關稅政策,彭喜樞、謝鈴媛,四D56,5,綜南270109
租稅個案實習,鍾騏,五234,2,綜南270412
賽局論,王智賢,四D56,16,綜南270315
租稅理論專題研究,翁堃嵐,五234,4,綜合270946
地方財政,傅健豪,一D56,8,綜南270209
公共政策理論研究,蘇偉業,四234,3,綜館271134
量化研究法,朱斌妤,二D56,22,綜合271135
公共政策與分析,廖興中,三567,20,綜合271149
高等質性研究,江明修,三567,3,教室洽系所
質性研究法,傅凱若,三234,16,綜合271149
現行考銓制度,蘇偉業,三D56,8,綜北270307
公共管理及永續發展,謝文琪,五234,1,人偉講堂
永續社群發展與管理,謝文琪,二234,3,人偉講堂
社會創新與地方治理,傅凱若,二234,5,綜合271149
國際環境治理,王慧敏,二56,3,綜館271134
環境社會治理（ESG）專題研究,詹中原,四567,8,綜合271149
計畫評估,董祥開,三D56,4,綜館271134
政治參與及社會運動,王慧敏,三567,0, 無資料
資料導向決策,廖興中,四34C,0, 無資料
跨域治理與組織協力,張鎧如,二234,1,綜合271135
政策分析的理論與實務,莊國榮,四567,7,綜合271135
國土規劃,鄭安廷,五234,7,綜南270312
國際間財產評價,游適銘,三8E,18,綜北270403
以歷史的角度看地表變遷,陳奕穎,二34,10,綜南270416
東亞土地徵收研究專題,李明芝,二567,4,綜合270617
綠色建築與智慧生態社區,孫振義,二567,23,綜合270622
獨立研究（二）,林士淵、邱式鴻、范噶色、甯方璽、詹進發,一C五D,12,綜合270610
不動產市場土地開發行為之分析,丁秀吟,三567,6,綜合270622
電腦輔助大量估價專題研究,江穎慧,四234,6,綜合270622
財產權理論與土地使用管制,林森田,三234,20,綜合270622
