subject,teacher,time_detail,all_colleges_registered,classroom
線性代數,左瑞麟,二234,90,大仁200301
物件導向程式設計,紀明德,三234,68,大仁200301
數位系統導論,廖文宏,二D56,73,大仁200301
數位系統實驗,廖文宏,二78,63,大仁200201
演算法,沈錳坤,五234,82,大仁200301
人工智慧概論,劉昭麟,五D56,30,大仁200301
軟體工程概論,盧建成,五D56,26,大仁200101
等候理論,蔡子傑,三234,26,大仁200101
資訊專題（A）,蔡銘峰,未定或彈性,13, 無資料
資訊專題（A）,彭彥璁,未定或彈性,11, 無資料
資訊專題（A）,張家銘,未定或彈性,13, 無資料
資訊專題（A）,紀明德,未定或彈性,16, 無資料
資訊專題（C）,郭桐惟,未定或彈性,1, 無資料
計算機程式設計（二）,蔡銘峰,二D56,47,大仁200101
電腦圖學,紀明德,一D56,43,大仁200101
程式能力檢定,郭桐惟,未定或彈性,39, 無資料
分散式系統,廖峻鋒,一D56,40,大仁200301
圖形理論及其網路應用,郭桐惟,二D56,18,大仁200102
智慧運輸系統,孫士勝,三D56,16,大勇210208
進階行動通訊網路,張宏慶,三D56,6,大仁200102
視訊壓縮,彭彥璁,四234,9,大仁200102
自然語言處理,黃瀚萱,四234,38,大仁200101
資料科學,張家銘,二234,27,大仁200401資科電腦室
社群媒體資料分析,謝佩璇,五D56,24,大仁200106
網路與通訊概論,郭桐惟,一D56,37,大仁200102
物件導向程式設計實習,紀明德,三FG,67,大仁200401資科電腦室
計算機程式設計實習（二）,蔡銘峰,二78,44,大仁200101
專題研討（四）,蔡銘峰,四5,3,大仁200301
專題研討（二）,蔡欣叡,四6,41,大仁200301
論文研究（二）,廖峻鋒,未定或彈性,3, 無資料
論文研究（四）,左瑞麟,未定或彈性,1, 無資料
專題研討（二）,張宏慶,四7,2,大仁200301
專題研討（四）,謝佩璇,四D,2,大仁200301
密碼協定設計與分析,曾一凡,二234,20,大勇210207
智慧運輸系統,孫士勝,三D56,7,大勇210208
數位簽章,曾一凡,三234,20,大仁200102
進階行動通訊網路,張宏慶,三D56,5,大仁200102
自主行動機器人導論,劉吉軒,一D56,7,大仁200106
社群運算,沈錳坤,四234,15,大仁200106
量子計算,許琇娟,一78E,1,慎固800103
區塊鏈技術與應用,張宏慶,五567,5,大仁200102
資料科學,張家銘,二234,20,大仁200401資科電腦室
視訊壓縮,彭彥璁,四234,3,大仁200102
影像處理,彭彥璁,三D56,36,大勇210207
圖形理論及其網路應用,郭桐惟,二D56,13,大仁200102
人工智慧概論,劉昭麟,五D56,5,大仁200301
分散式系統,廖峻鋒,一D56,23,大仁200301
電腦圖學,紀明德,一D56,3,大仁200101
軟體工程概論,盧建成,五D56,9,大仁200101
等候理論,蔡子傑,三234,3,大仁200101
自然語言處理,黃瀚萱,四234,29,大仁200101
數據網路,蔡子傑,五234,0, 無資料
自然語言與資訊檢索於社群網路之應用,詳備註,四567,2,教室洽系所
專題討論（Ⅱ）,詳備註,一56,3,教室洽系所
專題討論（Ⅳ）,詳備註,一56,0, 無資料
專題討論（Ⅵ）,詳備註,一56,1,教室洽系所
初級中文二,詳備註,二EFG,2,教室洽系所
美學概論,陳聖智,五234,25,電算微三室
Web程式設計,古健樺,四D56,74,大勇210205
基礎動畫設計,陳俊良,三234,12,大勇210315
專案實作Ｄ,陳宜秀、廖峻鋒,二EFG,40,商館260306
文化創意加值,陳聖智,一D56,19,電算微二室
互動裝置設計,張博智,二D56,33,大勇210315
電腦動畫,陳俊良,三D56,9,大勇210315
互動科技研究討論,蔡欣叡,一567,1,藝文370218
進階遊戲引擎應用開發,周大鈞,三EFG,0, 無資料
進階使用者經驗設計,陳宜秀,四234,15,藝文370218
機器人與AI互動設計,侯宗佑,二D56,4,藝文370218
機器人與AI互動專題：理論與研究,侯宗佑,四D56,3,藝文370218
數位內容技術實作,蔡欣叡,三567,2,藝文370218
電腦繪圖生成藝術,陳昭伶,二234,35,電算微三室
機器學習觀念與應用,魏綾音,四234,54,資訊140308
自然語言處理,紀俊男,二D56,55,資訊140406(微五教室)
踏石智慧跨領域,劉昭麟,三78,7,大仁200106
數位簽章,曾一凡,三234,11,大仁200102
分散式系統,廖峻鋒,一D56,12,大仁200301
密碼協定設計與分析,曾一凡,二234,7,大勇210207
專題研討（二）,左瑞麟,四5,13,大仁200102
專題研討（四）,左瑞麟,四6,2,大仁200102
資訊安全管理,高大宇,四EFG,16,商館260101
數位鑑識,許晉銘,二D56,9,大仁200401資科電腦室
進階資訊系統研發,蕭舜文,三D56,0, 無資料
企業實習（二）,左瑞麟,四C,0, 無資料
滲透測試實務應用,孫士勝,一D56,14,電算微三室
資安檢測技術與實務,洪光鈞,三EFG,11,電算微二室
量子計算,許琇娟,一78E,1,慎固800103
軟體分析與測試,洪智鐸,五D56,1,商館260311
後量子密碼學,郭博鈞,三D56,14,綜北270107
專題研討（二）,左瑞麟、紀明德,一E,24,大仁200301
專題研究（二）,左瑞麟、沈錳坤、紀明德、張宏慶、張家銘、彭彥璁、廖文宏、廖峻鋒、劉吉軒、蔡子傑,未定或彈性,21, 無資料
論文研究（二）,左瑞麟、李蔡彥、沈錳坤、紀明德、張宏慶、張家銘、彭彥璁、廖文宏、廖峻鋒、劉吉軒、蔡子傑,未定或彈性,22, 無資料
影像處理—從古典到深度學習,彭彥璁,五EFG,13,大仁200102
資料科學,張家銘,二EFG,12,大仁200106
資訊視覺化,紀明德,三EFG,16,大仁200301
區塊鏈技術與應用,張宏慶,五EFG,7,大仁200301
演算法分析,沈錳坤,四EFG,17,大仁200106
