subject,teacher,time_detail,all_colleges_registered,classroom
政治學,蔡中民,一D56,147,綜合中央大教室 (270751)
經濟學,胡偉民,二234,102,大智190101
經濟學,蔡致遠,三234,128,研究250103
政治學,韋洪武,一D56,20,綜北270202
國際關係,楊文琪,三D56,63,綜北270202
財務管理,盧敬植,一D56,47,商館260106
財務管理,車倫周,四D56,70,研究250105
財務管理,郭維裕,二D56,58,研究250206
財務管理,林基煌、屠美亞,三234,31,商館260210
投資學,李志宏,二D56,58,商館260210
投資學,林靖庭,三234,68,商館260106
投資學,邱健嘉,一D56,71,商館260207
投資學,車倫周,三D56,69,商館260205
資料分析與程式設計入門,周彥君,四D56,74,逸仙5樓資管電腦室
資料分析與程式設計入門,楊亨利,二78E,55,逸仙5樓資管電腦室
資料分析與程式設計入門,余千智,三78E,27,逸仙5樓資管電腦室
統計學（一）,薛慧敏,二234,58,商館260311
統計學（二）,楊素芬,一D56,121,研究250103
統計學（二）,黃佳慧,二234,109,研究250103
統計學（二）,翁久幸,二234,73,商館260306
統計學（二）,陳怡如,二D56,111,資訊140206
統計學（二）,張育瑋,二D56,85,商館260106
統計學（二）,薛慧敏,三D56,35,商館260313
統計學（二）,黃子銘,四234,79,研究250103
統計學（二）,周珮婷,四D56,215,研究250103
統計學（二）,吳漢銘,四D56,45,商館260311
統計學（二）,陳立榜,四D56,49,資訊140306
微積分,張宜武,三D56,128,大勇210103
微積分,符聖珍,四D56,69,大勇210104
微積分,郭岳承,四D56,86,大勇210106
微積分,林俊良,三D56,108,大智190101
微積分,劉明郎,五D56,114,大勇210103
微積分甲,曾正男,四D56,56,大智190101
微積分甲,林俊良,二234,60,大勇210104
微積分甲,蔡承育,三D56,108,大勇210104
憲法,謝碩駿,二234,79,大勇210201
英語語言學概論,葉侃彧,五34,25,季陶340402
刑法（二）,林道,一EFG,69,商館260106
法學的歷史、社會與思想,黃士軒,四234,104,大智190304
日語讀本（一）,葉寶珠,四34,58,大勇210101
日語讀本（一）,邱麗娟,五EF,63,研究250206
日語聽力練習,郭蓉蓉,五D5,40,資訊140201
日語聽力練習,施列庭,五34,32,資訊140201
日語聽力練習,楊慧芳,五78,46,資訊140104
英語口語訓練,陶韻惠,三78,20,研究250102
英語口語訓練,王力英,三56,6,季陶340401
英語語音學,陳怡臻,三234,7,季陶340304
英美文學,陳建龍,四234,14,綜北270304
英文作文（一）,江介維,四D5,20,逸仙050202
英文作文（二）,江介維,四67,17,逸仙050202
初級日語,葉寶珠,三34C,35,資訊140301
初級日語,邱麗娟,二EFG,32,研究250105
日語會話（一）,周雅玲,五D5,29,綜北270207
日語會話（一）,郭蓉蓉,五34,40,綜北270204
日語會話（一）,劉麗文,二34,14,綜北270201
日語會話（一）,詹兆雯,三56,26,研究250308
日語會話（一）,葉寶珠,三D5,43,資訊140301
日語會話（一）,馮秋玉,二78,36,綜北270402
中級日語,林士鈞,四EFG,51,研究250201
中級日語,葉寶珠,四D56,34,大勇210101
中級日語,馮秋玉,二234,21,綜北270402
中級日語,邱麗娟,二D56,30,綜北270407
日語會話（二）,周雅玲,五34,15,綜北270207
日語會話（二）,詹兆雯,三78,15,研究250308
日語會話（二）,坂井郁子,五CD,39,大勇210102
日語會話（二）,林士鈞,三EF,38,研究250309
