subject,teacher,time_detail,all_colleges_registered,classroom
體育[男女合班]—健康體適能,陳志威,二34,51, 無資料
體育[男女合班]—適應體育,陳志威,四56,7, 無資料
體育[男]—羽球初級,黃郁琦,五34,46, 無資料
體育[男]—羽球初級,黃郁琦,二12,28, 無資料
體育[男]—籃球初級,葉良志,四56,15, 無資料
體育[男]—籃球初級,葉良志,四78,20, 無資料
體育[男]—籃球初級,葉良志,五78,14, 無資料
體育[男]—羽球中級,陳志威,四12,22, 無資料
體育[女]—羽球初級,方明營,二12,42, 無資料
體育[女]—羽球初級,方明營,二34,45, 無資料
體育[女]—羽球初級,楊瑞珠,二78,45, 無資料
體育[女]—羽球初級,陳志威,一56,49, 無資料
體育[女]—桌球初級,朱昌勇,五12,44, 無資料
體育[女]—桌球初級,朱昌勇,四12,44, 無資料
體育[女]—籃球初級,葉良志,五56,12, 無資料
體育[女]—籃球初級,葉良志,三78,17, 無資料
體育[女]—游泳初級,李惠婷,二56,44, 無資料
體育[女]—排球初級,嚴雅婷,三12,38, 無資料
體育[女]—排球初級,嚴雅婷,一56,47, 無資料
體育[女]—排球初級,嚴雅婷,三34,45, 無資料
體育[女]—女體適能,林文乙,五12,56, 無資料
體育[女]—女體適能,林文乙,四12,58, 無資料
體育[女]—籃球中級,陳子威,五78,29, 無資料
體育[女]—羽球中級,陳志威,一78,44, 無資料
體育[女]—排球中級,嚴雅婷,一78,28, 無資料
體育[男女合班]—網球初級,杜錦豊,一56,37, 無資料
體育[男女合班]—網球初級,張凱隆,二78,42, 無資料
體育[男女合班]—網球初級,張凱隆,二56,38, 無資料
體育[男女合班]—網球初級,張凱隆,三34,37, 無資料
體育[男女合班]—桌球初級,朱昌勇,二56,44, 無資料
體育[男女合班]—桌球初級,朱昌勇,四34,45, 無資料
體育[男女合班]—桌球初級,謝明輝,四56,57, 無資料
體育[男女合班]—桌球初級,謝明輝,一78,56, 無資料
體育[男女合班]—桌球初級,謝明輝,一56,50, 無資料
體育[男女合班]—桌球初級,謝明輝,二12,48, 無資料
體育[男女合班]—桌球初級,謝明輝,三34,49, 無資料
體育[男女合班]—慢速壘球初級,温良財,三34,42, 無資料
體育[男女合班]—慢速壘球初級,王清欉,二34,50, 無資料
體育[男女合班]—足球初級,林貴彬,三78,50, 無資料
體育[男女合班]—足球初級,林貴彬,三56,53, 無資料
體育[男女合班]—足球初級,林貴彬,二78,49, 無資料
體育[男]—男體適能,林文乙,三34,57, 無資料
體育[男女合班]—國際標準舞初級,王學富,二56,34, 無資料
體育[男女合班]—國際標準舞初級,王學富,二78,65, 無資料
體育[男女合班]—排球中級,張峻豪,三56,33, 無資料
體育[男女合班]—排球初級,張峻豪,三78,53, 無資料
體育[男女合班]—足球中級,林貴彬,四78,48, 無資料
體育[男]—籃球中級,陳子威,五56,35, 無資料
體育[男女合班]—桌球中級,謝明輝,二34,39, 無資料
體育[男女合班]—桌球中級,朱昌勇,五34,45, 無資料
體育[男女合班]—桌球中級,朱昌勇,二78,45, 無資料
體育[男女合班]—羽球中級,楊瑞珠,二56,24, 無資料
體育[男女合班]—羽球中級,楊瑞珠,四34,16, 無資料
體育[男女合班]—游泳中級,李惠婷,二78,43, 無資料
體育[男女合班]—木球初級,王思宜,一56,48, 無資料
體育[男女合班]—木球初級,王思宜,二56,50, 無資料
體育[男女合班]—木球初級,王思宜,四56,50, 無資料
體育[男女合班]—木球初級,王思宜,三12,48, 無資料
體育[男女合班]—木球初級,王思宜,三34,49, 無資料
體育[男女合班]—網球中級,杜錦豊,一78,22, 無資料
體育[男女合班]—彼拉提斯墊上技巧,呂潔如,四56,44, 無資料
體育[男女合班]—橄欖球初級,林文乙,四34,60, 無資料
體育[男女合班]—橄欖球初級,林文乙,五34,57, 無資料
體育[男女合班]—土風舞初級,吳采陵,三56,56, 無資料
體育[男女合班]—鐵人三項初級,吳家慶,四34,21, 無資料
體育[男女合班]—健走,洪鈺釗,一12,53, 無資料
體育[男女合班]—健走,洪鈺釗,三12,53, 無資料
體育[男女合班]—跆拳道與防身術初級,柯玉貞,五12,47, 無資料
體育[男女合班]—跆拳道與防身術初級,柯玉貞,五34,50, 無資料
體育[男女合班]—武術初級,張仲豪,二12,43, 無資料
體育[男女合班]—武術初級,張仲豪,二34,45, 無資料
體育[男女合班]—武術中級,張仲豪,五34,46, 無資料
體育[男女合班]—籃球初級,陳子威,三34,37, 無資料
體育[男女合班]—籃球初級,陳子威,四56,52, 無資料
體育[男女合班]—瑜珈初級,賴芳貞,四12,48, 無資料
體育[男女合班]—瑜珈初級,賴芳貞,四34,52, 無資料
體育[男女合班]—瑜珈初級,賴芳貞,一78,59, 無資料
體育[男女合班]—羽球初級,楊瑞珠,四12,17, 無資料
體育[男女合班]—羽球初級,楊瑞珠,三34,38, 無資料
體育[男女合班]—羽球初級,陳志威,二56,50, 無資料
體育[男女合班]—羽球初級,黃郁琦,五12,50, 無資料
體育[男女合班]—羽球初級,楊瑞珠,三12,18, 無資料
體育[男女合班]—羽球初級,陳志威,四34,55, 無資料
體育[男女合班]—慢速壘球中級,王清欉,四56,46, 無資料
體育[男女合班]—定向越野,莊珮琪,二56,45, 無資料
體育[男女合班]—定向越野,莊珮琪,二34,44, 無資料
體育[男女合班]—定向越野,莊珮琪,二78,45, 無資料
體育[男女合班]—現代舞初級,吳采陵,三12,50, 無資料
體育[男女合班]—田徑,洪鈺釗,四12,16, 無資料
體育[男女合班]—田徑,洪鈺釗,五12,25, 無資料
體育[男女合班]—田徑運動入門,洪鈺釗,四34,52, 無資料
體育[男女合班]—田徑運動入門,洪鈺釗,五34,48, 無資料
體育[男女合班]—網球高級,張凱隆,五56,12, 無資料
體育[男女合班]—綜合體能訓練,吳家慶,四12,30, 無資料
體育[男女合班]—五人制足球,林貴彬,二56,23, 無資料
體育[男女合班]—五人制足球,林貴彬,四56,46, 無資料
體育[男女合班]—民俗體育,黃景達,二34,47, 無資料
體育[男女合班]—民俗體育,黃景達,二56,44, 無資料
體育[男女合班]—匹克球初級,張凱隆,二34,43, 無資料
體育[男女合班]—匹克球初級,張凱隆,五34,44, 無資料
體育[男女合班]—匹克球初級,張凱隆,三56,46, 無資料
體育[男女合班]—羽球高級,陳志威,二78,39, 無資料
體育[男女合班]—桌球高級,謝明輝,三56,17, 無資料
體育[男女合班]—游泳初級,李惠婷,二34,44, 無資料
體育[男女合班]—芭蕾舞初級,吳采陵,三34,48, 無資料
全民國防教育軍事訓練—國際情勢,詳備註,一56,45,學思040104
全民國防教育軍事訓練—國際情勢,詳備註,一78,46,學思040104
全民國防教育軍事訓練—全民國防,詳備註,二56,54,學思040205
全民國防教育軍事訓練—全民國防,詳備註,二78,47,學思040205
全民國防教育軍事訓練—防衛動員,莊子家,四CD,44,學思040302
全民國防教育軍事訓練—防衛動員,莊子家,四56,46,學思040302
